0.04643368721008301
0.1 | GMM Full | nComponents = 1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.399 | MinDCF =0.286
0.1 | GMM Full | nComponents = 1 | Raw | Calibrated | PCA = 8 | ActDCF =0.304 | MinDCF =0.290
0.5 | GMM Full | nComponents = 1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.161 | MinDCF =0.141
0.5 | GMM Full | nComponents = 1 | Raw | Calibrated | PCA = 8 | ActDCF =0.314 | MinDCF =0.148
0.9 | GMM Full | nComponents = 1 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.214 | MinDCF =0.672
0.9 | GMM Full | nComponents = 1 | Raw | Calibrated | PCA = 8 | ActDCF =3.290 | MinDCF =0.708
0.1 | GMM Full | nComponents = 2 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.442 | MinDCF =0.269
0.1 | GMM Full | nComponents = 2 | Raw | Calibrated | PCA = 8 | ActDCF =0.386 | MinDCF =0.272
0.5 | GMM Full | nComponents = 2 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.161 | MinDCF =0.159
0.5 | GMM Full | nComponents = 2 | Raw | Calibrated | PCA = 8 | ActDCF =0.304 | MinDCF =0.158
0.9 | GMM Full | nComponents = 2 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.164 | MinDCF =0.680
0.9 | GMM Full | nComponents = 2 | Raw | Calibrated | PCA = 8 | ActDCF =3.433 | MinDCF =0.655
0.1 | GMM Full | nComponents = 4 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.425 | MinDCF =0.258
0.1 | GMM Full | nComponents = 4 | Raw | Calibrated | PCA = 8 | ActDCF =0.386 | MinDCF =0.263
0.5 | GMM Full | nComponents = 4 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.149 | MinDCF =0.143
0.5 | GMM Full | nComponents = 4 | Raw | Calibrated | PCA = 8 | ActDCF =0.268 | MinDCF =0.145
0.9 | GMM Full | nComponents = 4 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.065 | MinDCF =0.611
0.9 | GMM Full | nComponents = 4 | Raw | Calibrated | PCA = 8 | ActDCF =3.323 | MinDCF =0.634
0.1 | GMM Full | nComponents = 8 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.391 | MinDCF =0.237
0.1 | GMM Full | nComponents = 8 | Raw | Calibrated | PCA = 8 | ActDCF =0.373 | MinDCF =0.236
