0.1 | 0.1 | Linear Regression | Lambda =1.00e-05 | Raw | PCA = 10 | ActDCF =0.883 | MinDCF =0.826
0.1 | 0.5 | Linear Regression | Lambda =1.00e-05 | Raw | PCA = 10 | ActDCF =0.700 | MinDCF =0.341
0.1 | 0.9 | Linear Regression | Lambda =1.00e-05 | Raw | PCA = 10 | ActDCF =6.116 | MinDCF =0.701
0.1 | 0.1 | Linear Regression | Lambda =1.00e-05 | Normalized | PCA = 10 | ActDCF =0.841 | MinDCF =0.805
0.1 | 0.5 | Linear Regression | Lambda =1.00e-05 | Normalized | PCA = 10 | ActDCF =0.704 | MinDCF =0.339
0.1 | 0.9 | Linear Regression | Lambda =1.00e-05 | Normalized | PCA = 10 | ActDCF =6.198 | MinDCF =0.909
0.1 | 0.1 | Linear Regression | Lambda =2.34e-05 | Raw | PCA = 10 | ActDCF =0.875 | MinDCF =0.824
0.1 | 0.5 | Linear Regression | Lambda =2.34e-05 | Raw | PCA = 10 | ActDCF =0.699 | MinDCF =0.341
0.1 | 0.9 | Linear Regression | Lambda =2.34e-05 | Raw | PCA = 10 | ActDCF =6.115 | MinDCF =0.706
0.1 | 0.1 | Linear Regression | Lambda =2.34e-05 | Normalized | PCA = 10 | ActDCF =0.841 | MinDCF =0.805
0.1 | 0.5 | Linear Regression | Lambda =2.34e-05 | Normalized | PCA = 10 | ActDCF =0.704 | MinDCF =0.339
0.1 | 0.9 | Linear Regression | Lambda =2.34e-05 | Normalized | PCA = 10 | ActDCF =6.198 | MinDCF =0.909
0.1 | 0.1 | Linear Regression | Lambda =5.46e-05 | Raw | PCA = 10 | ActDCF =0.862 | MinDCF =0.831
0.1 | 0.5 | Linear Regression | Lambda =5.46e-05 | Raw | PCA = 10 | ActDCF =0.699 | MinDCF =0.337
0.1 | 0.9 | Linear Regression | Lambda =5.46e-05 | Raw | PCA = 10 | ActDCF =6.128 | MinDCF =0.724
0.1 | 0.1 | Linear Regression | Lambda =5.46e-05 | Normalized | PCA = 10 | ActDCF =0.843 | MinDCF =0.805
0.1 | 0.5 | Linear Regression | Lambda =5.46e-05 | Normalized | PCA = 10 | ActDCF =0.706 | MinDCF =0.339
0.1 | 0.9 | Linear Regression | Lambda =5.46e-05 | Normalized | PCA = 10 | ActDCF =6.213 | MinDCF =0.909
0.1 | 0.1 | Linear Regression | Lambda =1.27e-04 | Raw | PCA = 10 | ActDCF =0.861 | MinDCF =0.830
0.1 | 0.5 | Linear Regression | Lambda =1.27e-04 | Raw | PCA = 10 | ActDCF =0.705 | MinDCF =0.336
0.1 | 0.9 | Linear Regression | Lambda =1.27e-04 | Raw | PCA = 10 | ActDCF =6.186 | MinDCF =0.732
0.1 | 0.1 | Linear Regression | Lambda =1.27e-04 | Normalized | PCA = 10 | ActDCF =0.843 | MinDCF =0.803
0.1 | 0.5 | Linear Regression | Lambda =1.27e-04 | Normalized | PCA = 10 | ActDCF =0.706 | MinDCF =0.339
0.1 | 0.9 | Linear Regression | Lambda =1.27e-04 | Normalized | PCA = 10 | ActDCF =6.213 | MinDCF =0.909
0.1 | 0.1 | Linear Regression | Lambda =2.98e-04 | Raw | PCA = 10 | ActDCF =0.846 | MinDCF =0.838
0.1 | 0.5 | Linear Regression | Lambda =2.98e-04 | Raw | PCA = 10 | ActDCF =0.696 | MinDCF =0.338
