0.1 | 0.1 | Full | Raw | PCA = 5 | ActDCF =0.901 | MinDCF =0.851
0.1 | 0.5 | Full | Raw | PCA = 5 | ActDCF =0.608 | MinDCF =0.394
0.1 | 0.9 | Full | Raw | PCA = 5 | ActDCF =5.175 | MinDCF =0.943
0.1 | 0.1 | Full | Raw | PCA = 6 | ActDCF =0.889 | MinDCF =0.825
0.1 | 0.5 | Full | Raw | PCA = 6 | ActDCF =0.563 | MinDCF =0.384
0.1 | 0.9 | Full | Raw | PCA = 6 | ActDCF =4.739 | MinDCF =0.916
0.1 | 0.1 | Full | Raw | PCA = 7 | ActDCF =0.911 | MinDCF =0.812
0.1 | 0.5 | Full | Raw | PCA = 7 | ActDCF =0.513 | MinDCF =0.352
0.1 | 0.9 | Full | Raw | PCA = 7 | ActDCF =4.219 | MinDCF =0.872
0.1 | 0.1 | Full | Raw | PCA = 8 | ActDCF =0.875 | MinDCF =0.791
0.1 | 0.5 | Full | Raw | PCA = 8 | ActDCF =0.503 | MinDCF =0.345
0.1 | 0.9 | Full | Raw | PCA = 8 | ActDCF =4.157 | MinDCF =0.878
0.1 | 0.1 | Full | Raw | PCA = 9 | ActDCF =0.914 | MinDCF =0.832
0.1 | 0.5 | Full | Raw | PCA = 9 | ActDCF =0.490 | MinDCF =0.321
0.1 | 0.9 | Full | Raw | PCA = 9 | ActDCF =3.988 | MinDCF =0.817
0.1 | 0.1 | Full | Raw | PCA = 10 | ActDCF =1.055 | MinDCF =0.799
0.1 | 0.5 | Full | Raw | PCA = 10 | ActDCF =0.442 | MinDCF =0.327
0.1 | 0.9 | Full | Raw | PCA = 10 | ActDCF =3.365 | MinDCF =0.852
0.1 | 0.1 | Full | Raw | PCA = 11 | ActDCF =1.084 | MinDCF =0.780
0.1 | 0.5 | Full | Raw | PCA = 11 | ActDCF =0.399 | MinDCF =0.312
0.1 | 0.9 | Full | Raw | PCA = 11 | ActDCF =2.905 | MinDCF =0.843
0.1 | 0.1 | Full | Normalized | PCA = 5 | ActDCF =0.871 | MinDCF =0.821
0.1 | 0.5 | Full | Normalized | PCA = 5 | ActDCF =0.636 | MinDCF =0.384
0.1 | 0.9 | Full | Normalized | PCA = 5 | ActDCF =5.491 | MinDCF =0.878
0.1 | 0.1 | Full | Normalized | PCA = 6 | ActDCF =0.856 | MinDCF =0.822
0.1 | 0.5 | Full | Normalized | PCA = 6 | ActDCF =0.622 | MinDCF =0.365
0.1 | 0.9 | Full | Normalized | PCA = 6 | ActDCF =5.359 | MinDCF =0.779
0.1 | 0.1 | Full | Normalized | PCA = 7 | ActDCF =0.843 | MinDCF =0.822
0.1 | 0.5 | Full | Normalized | PCA = 7 | ActDCF =0.562 | MinDCF =0.325
0.1 | 0.9 | Full | Normalized | PCA = 7 | ActDCF =4.777 | MinDCF =0.755
0.1 | 0.1 | Full | Normalized | PCA = 8 | ActDCF =0.914 | MinDCF =0.856
0.1 | 0.5 | Full | Normalized | PCA = 8 | ActDCF =0.548 | MinDCF =0.308
0.1 | 0.9 | Full | Normalized | PCA = 8 | ActDCF =4.568 | MinDCF =0.751
0.1 | 0.1 | Full | Normalized | PCA = 9 | ActDCF =0.921 | MinDCF =0.825
