0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.737 | MinDCF =0.997
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =8.987 | MinDCF =0.997
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.947 | MinDCF =0.916
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.916
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =7.733 | MinDCF =0.998
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =1.013 | MinDCF =0.998
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.053 | MinDCF =1.000
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =8.985 | MinDCF =1.000
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.994 | MinDCF =0.895
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.998 | MinDCF =0.895
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =8.890 | MinDCF =0.996
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 2.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.998 | MinDCF =0.996
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.221 | MinDCF =0.980
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =8.917 | MinDCF =0.980
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =0.993 | MinDCF =0.844
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.995 | MinDCF =0.844
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 0.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =8.706 | MinDCF =0.998
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 0.0 | Raw | Calibrated | PCA = 10 | ActDCF =1.034 | MinDCF =0.998
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.188 | MinDCF =1.000
0.1 | 0.1 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =8.950 | MinDCF =1.000
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.012 | MinDCF =0.860
0.1 | 0.5 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =0.996 | MinDCF =0.860
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 1.0 | Raw | Uncalibrated | PCA = 10 | ActDCF =8.934 | MinDCF =0.997
0.1 | 0.9 | SVM Poly | K = 0.0 | C = 0.01 | d = 3.0 | c = 1.0 | Raw | Calibrated | PCA = 10 | ActDCF =1.009 | MinDCF =0.997
