0.1 | 0.1 | Quadratic Regression | Lambda =1.00e-05 | Raw | PCA = 10 | ActDCF =0.861 | MinDCF =0.854
0.1 | 0.5 | Quadratic Regression | Lambda =1.00e-05 | Raw | PCA = 10 | ActDCF =0.697 | MinDCF =0.436
0.1 | 0.9 | Quadratic Regression | Lambda =1.00e-05 | Raw | PCA = 10 | ActDCF =6.113 | MinDCF =0.989
0.1 | 0.1 | Quadratic Regression | Lambda =1.00e-05 | Normalized | PCA = 10 | ActDCF =0.744 | MinDCF =0.723
0.1 | 0.5 | Quadratic Regression | Lambda =1.00e-05 | Normalized | PCA = 10 | ActDCF =0.496 | MinDCF =0.295
0.1 | 0.9 | Quadratic Regression | Lambda =1.00e-05 | Normalized | PCA = 10 | ActDCF =4.215 | MinDCF =0.669
0.1 | 0.1 | Quadratic Regression | Lambda =2.34e-05 | Raw | PCA = 10 | ActDCF =0.868 | MinDCF =0.861
0.1 | 0.5 | Quadratic Regression | Lambda =2.34e-05 | Raw | PCA = 10 | ActDCF =0.698 | MinDCF =0.447
0.1 | 0.9 | Quadratic Regression | Lambda =2.34e-05 | Raw | PCA = 10 | ActDCF =6.114 | MinDCF =0.979
0.1 | 0.1 | Quadratic Regression | Lambda =2.34e-05 | Normalized | PCA = 10 | ActDCF =0.744 | MinDCF =0.723
0.1 | 0.5 | Quadratic Regression | Lambda =2.34e-05 | Normalized | PCA = 10 | ActDCF =0.496 | MinDCF =0.295
0.1 | 0.9 | Quadratic Regression | Lambda =2.34e-05 | Normalized | PCA = 10 | ActDCF =4.215 | MinDCF =0.669
0.1 | 0.1 | Quadratic Regression | Lambda =5.46e-05 | Raw | PCA = 10 | ActDCF =0.862 | MinDCF =0.861
0.1 | 0.5 | Quadratic Regression | Lambda =5.46e-05 | Raw | PCA = 10 | ActDCF =0.712 | MinDCF =0.458
0.1 | 0.9 | Quadratic Regression | Lambda =5.46e-05 | Raw | PCA = 10 | ActDCF =6.259 | MinDCF =0.940
0.1 | 0.1 | Quadratic Regression | Lambda =5.46e-05 | Normalized | PCA = 10 | ActDCF =0.746 | MinDCF =0.723
0.1 | 0.5 | Quadratic Regression | Lambda =5.46e-05 | Normalized | PCA = 10 | ActDCF =0.498 | MinDCF =0.294
0.1 | 0.9 | Quadratic Regression | Lambda =5.46e-05 | Normalized | PCA = 10 | ActDCF =4.230 | MinDCF =0.670
0.1 | 0.1 | Quadratic Regression | Lambda =1.27e-04 | Raw | PCA = 10 | ActDCF =0.856 | MinDCF =0.839
