0.04435276985168457
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =1.000
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.411 | MinDCF =1.000
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.327
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =0.380 | MinDCF =0.329
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.894
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =2.387 | MinDCF =0.920
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =1.000
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =1.973 | MinDCF =1.000
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.389
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.438 | MinDCF =0.391
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.943
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =2.406 | MinDCF =0.945
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.529 | MinDCF =0.503
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =2.193 | MinDCF =0.596
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.523 | MinDCF =0.322
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =0.349 | MinDCF =0.320
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =4.704 | MinDCF =0.916
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.01 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =1.294 | MinDCF =0.948
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =1.000
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.372 | MinDCF =1.000
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.316
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =0.343 | MinDCF =0.316
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.870
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =2.058 | MinDCF =0.929
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =1.000
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =1.867 | MinDCF =1.000
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.376
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.425 | MinDCF =0.380
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.928
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =2.384 | MinDCF =0.927
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.529 | MinDCF =0.503
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =2.192 | MinDCF =0.597
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.523 | MinDCF =0.322
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =0.349 | MinDCF =0.320
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.1 | Raw | Uncalibrated | PCA = 8 | ActDCF =4.704 | MinDCF =0.916
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.016681005372000592 | gamma = 0.1 | Raw | Calibrated | PCA = 8 | ActDCF =1.294 | MinDCF =0.948
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.027825594022071243 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.991
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.027825594022071243 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.405 | MinDCF =0.989
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.027825594022071243 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.305
0.1 | 0.5 | SVM RBF | K = 0.0 | C = 0.027825594022071243 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =0.320 | MinDCF =0.306
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.027825594022071243 | gamma = 0.001 | Raw | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.880
0.1 | 0.9 | SVM RBF | K = 0.0 | C = 0.027825594022071243 | gamma = 0.001 | Raw | Calibrated | PCA = 8 | ActDCF =1.791 | MinDCF =0.903
0.1 | 0.1 | SVM RBF | K = 0.0 | C = 0.027825594022071243 | gamma = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =1.000
