0.06720471382141113
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.274 | MinDCF =0.244
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.400 | MinDCF =0.243
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.243 | MinDCF =0.142
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.144 | MinDCF =0.141
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.153 | MinDCF =0.674
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =1.040 | MinDCF =0.683
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.284 | MinDCF =0.274
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Calibrated | PCA = 8 | ActDCF =0.538 | MinDCF =0.277
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.254 | MinDCF =0.179
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Calibrated | PCA = 8 | ActDCF =0.181 | MinDCF =0.179
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.251 | MinDCF =0.803
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Calibrated | PCA = 8 | ActDCF =1.272 | MinDCF =0.818
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.359 | MinDCF =0.348
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Raw | Calibrated | PCA = 8 | ActDCF =0.725 | MinDCF =0.348
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.245 | MinDCF =0.196
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Raw | Calibrated | PCA = 8 | ActDCF =0.205 | MinDCF =0.197
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.086 | MinDCF =0.713
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Raw | Calibrated | PCA = 8 | ActDCF =1.326 | MinDCF =0.721
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.626 | MinDCF =0.454
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Calibrated | PCA = 8 | ActDCF =1.879 | MinDCF =0.454
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.370 | MinDCF =0.339
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Calibrated | PCA = 8 | ActDCF =0.380 | MinDCF =0.344
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.075 | MinDCF =0.904
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Calibrated | PCA = 8 | ActDCF =1.919 | MinDCF =0.891
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.427 | MinDCF =0.425
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 8 | ActDCF =1.213 | MinDCF =0.424
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.325 | MinDCF =0.263
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 8 | ActDCF =0.289 | MinDCF =0.263
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.819 | MinDCF =0.927
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 8 | ActDCF =1.672 | MinDCF =0.942
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Uncalibrated | PCA = 8 | ActDCF =3.182 | MinDCF =0.759
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Calibrated | PCA = 8 | ActDCF =2.064 | MinDCF =0.762
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.547 | MinDCF =0.501
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Calibrated | PCA = 8 | ActDCF =0.528 | MinDCF =0.501
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.292 | MinDCF =0.944
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Calibrated | PCA = 8 | ActDCF =3.218 | MinDCF =0.938
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.595 | MinDCF =0.511
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Calibrated | PCA = 8 | ActDCF =0.875 | MinDCF =0.507
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.245 | MinDCF =0.219
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Calibrated | PCA = 8 | ActDCF =0.223 | MinDCF =0.220
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.853 | MinDCF =0.766
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.21544346900318834 | Raw | Calibrated | PCA = 8 | ActDCF =1.353 | MinDCF =0.784
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.481 | MinDCF =1.000
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Raw | Calibrated | PCA = 8 | ActDCF =3.495 | MinDCF =1.000
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.633 | MinDCF =0.618
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Raw | Calibrated | PCA = 8 | ActDCF =0.648 | MinDCF =0.621
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Raw | Uncalibrated | PCA = 8 | ActDCF =3.849 | MinDCF =0.995
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.3593813663804626 | Raw | Calibrated | PCA = 8 | ActDCF =2.987 | MinDCF =0.994
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.222 | MinDCF =0.594
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Raw | Calibrated | PCA = 8 | ActDCF =2.280 | MinDCF =0.597
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.468 | MinDCF =0.403
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Raw | Calibrated | PCA = 8 | ActDCF =0.438 | MinDCF =0.407
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.456 | MinDCF =0.914
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.5994842503189409 | Raw | Calibrated | PCA = 8 | ActDCF =2.105 | MinDCF =0.927
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 1.0 | Raw | Uncalibrated | PCA = 8 | ActDCF =3.891 | MinDCF =0.812
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 1.0 | Raw | Calibrated | PCA = 8 | ActDCF =3.499 | MinDCF =0.825
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 1.0 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.652 | MinDCF =0.616
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 1.0 | Raw | Calibrated | PCA = 8 | ActDCF =0.661 | MinDCF =0.619
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 1.0 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.630 | MinDCF =0.977
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 1.0 | Raw | Calibrated | PCA = 8 | ActDCF =3.106 | MinDCF =0.968
0.1 | 0.1 | SVM Linear | K = 1.0 | C = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.272 | MinDCF =0.248
0.1 | 0.1 | SVM Linear | K = 1.0 | C = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.402 | MinDCF =0.249
0.1 | 0.5 | SVM Linear | K = 1.0 | C = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.241 | MinDCF =0.141
0.1 | 0.5 | SVM Linear | K = 1.0 | C = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =0.146 | MinDCF =0.143
0.1 | 0.9 | SVM Linear | K = 1.0 | C = 0.01 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.141 | MinDCF =0.684
0.1 | 0.9 | SVM Linear | K = 1.0 | C = 0.01 | Raw | Calibrated | PCA = 8 | ActDCF =1.062 | MinDCF =0.688
0.1 | 0.1 | SVM Linear | K = 1.0 | C = 0.016681005372000592 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.296 | MinDCF =0.292
0.1 | 0.1 | SVM Linear | K = 1.0 | C = 0.016681005372000592 | Raw | Calibrated | PCA = 8 | ActDCF =0.497 | MinDCF =0.292
0.1 | 0.5 | SVM Linear | K = 1.0 | C = 0.016681005372000592 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.253 | MinDCF =0.175
0.1 | 0.5 | SVM Linear | K = 1.0 | C = 0.016681005372000592 | Raw | Calibrated | PCA = 8 | ActDCF =0.177 | MinDCF =0.174
0.1 | 0.9 | SVM Linear | K = 1.0 | C = 0.016681005372000592 | Raw | Uncalibrated | PCA = 8 | ActDCF =2.231 | MinDCF =0.757
0.1 | 0.9 | SVM Linear | K = 1.0 | C = 0.016681005372000592 | Raw | Calibrated | PCA = 8 | ActDCF =1.268 | MinDCF =0.784
0.1 | 0.1 | SVM Linear | K = 1.0 | C = 0.027825594022071243 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.265 | MinDCF =0.256
0.1 | 0.1 | SVM Linear | K = 1.0 | C = 0.027825594022071243 | Raw | Calibrated | PCA = 8 | ActDCF =0.558 | MinDCF =0.259
0.1 | 0.5 | SVM Linear | K = 1.0 | C = 0.027825594022071243 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.219 | MinDCF =0.174
0.1 | 0.5 | SVM Linear | K = 1.0 | C = 0.027825594022071243 | Raw | Calibrated | PCA = 8 | ActDCF =0.182 | MinDCF =0.177
0.1 | 0.9 | SVM Linear | K = 1.0 | C = 0.027825594022071243 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.924 | MinDCF =0.733
0.1 | 0.9 | SVM Linear | K = 1.0 | C = 0.027825594022071243 | Raw | Calibrated | PCA = 8 | ActDCF =1.264 | MinDCF =0.729
0.1 | 0.1 | SVM Linear | K = 1.0 | C = 0.046415888336127774 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.550 | MinDCF =0.381
0.1 | 0.1 | SVM Linear | K = 1.0 | C = 0.046415888336127774 | Raw | Calibrated | PCA = 8 | ActDCF =0.717 | MinDCF =0.380
0.1 | 0.5 | SVM Linear | K = 1.0 | C = 0.046415888336127774 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.218 | MinDCF =0.214
0.1 | 0.5 | SVM Linear | K = 1.0 | C = 0.046415888336127774 | Raw | Calibrated | PCA = 8 | ActDCF =0.214 | MinDCF =0.214
