0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.993
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Calibrated | PCA = 10 | ActDCF =9.000 | MinDCF =0.993
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.701
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Calibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.701
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Uncalibrated | PCA = 10 | ActDCF =9.000 | MinDCF =1.013
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.01 | Raw | Calibrated | PCA = 10 | ActDCF =1.000 | MinDCF =1.013
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.991
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Calibrated | PCA = 10 | ActDCF =9.000 | MinDCF =0.991
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.629
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Calibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.629
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Uncalibrated | PCA = 10 | ActDCF =9.000 | MinDCF =1.015
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.016681005372000592 | Raw | Calibrated | PCA = 10 | ActDCF =1.000 | MinDCF =1.015
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.993
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Raw | Calibrated | PCA = 10 | ActDCF =9.000 | MinDCF =0.993
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.800
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Raw | Calibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.800
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Raw | Uncalibrated | PCA = 10 | ActDCF =9.000 | MinDCF =0.989
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.027825594022071243 | Raw | Calibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.989
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.969
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Calibrated | PCA = 10 | ActDCF =8.965 | MinDCF =0.969
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.631
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Calibrated | PCA = 10 | ActDCF =0.998 | MinDCF =0.631
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Uncalibrated | PCA = 10 | ActDCF =9.000 | MinDCF =0.997
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.046415888336127774 | Raw | Calibrated | PCA = 10 | ActDCF =1.011 | MinDCF =0.997
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.998
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 10 | ActDCF =9.000 | MinDCF =0.998
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.690
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.690
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 10 | ActDCF =9.000 | MinDCF =0.995
0.1 | 0.9 | SVM Linear | K = 0.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.995
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.998
0.1 | 0.1 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Calibrated | PCA = 10 | ActDCF =8.993 | MinDCF =0.998
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Uncalibrated | PCA = 10 | ActDCF =1.000 | MinDCF =0.704
0.1 | 0.5 | SVM Linear | K = 0.0 | C = 0.1291549665014884 | Raw | Calibrated | PCA = 10 | ActDCF =0.999 | MinDCF =0.704
