Full | Raw | PCA = 5 | ActDCF =0.397 | MinDCF =0.394
Full | Raw | PCA = 6 | ActDCF =0.399 | MinDCF =0.384
Full | Raw | PCA = 7 | ActDCF =0.364 | MinDCF =0.352
Full | Raw | PCA = 8 | ActDCF =0.357 | MinDCF =0.345
Full | Raw | PCA = 9 | ActDCF =0.321 | MinDCF =0.321
Full | Raw | PCA = 10 | ActDCF =0.370 | MinDCF =0.327
Full | Raw | PCA = 11 | ActDCF =0.362 | MinDCF =0.312
Full | Normalized | PCA = 5 | ActDCF =0.426 | MinDCF =0.384
Full | Normalized | PCA = 6 | ActDCF =0.390 | MinDCF =0.365
Full | Normalized | PCA = 7 | ActDCF =0.333 | MinDCF =0.325
Full | Normalized | PCA = 8 | ActDCF =0.315 | MinDCF =0.308
Full | Normalized | PCA = 9 | ActDCF =0.319 | MinDCF =0.307
Full | Normalized | PCA = 10 | ActDCF =0.316 | MinDCF =0.299
Full | Normalized | PCA = 11 | ActDCF =0.320 | MinDCF =0.304
Bayes | Raw | PCA = 5 | ActDCF =0.433 | MinDCF =0.414
Bayes | Raw | PCA = 6 | ActDCF =0.422 | MinDCF =0.414
Bayes | Raw | PCA = 7 | ActDCF =0.400 | MinDCF =0.396
Bayes | Raw | PCA = 8 | ActDCF =0.395 | MinDCF =0.389
Bayes | Raw | PCA = 9 | ActDCF =0.393 | MinDCF =0.383
Bayes | Raw | PCA = 10 | ActDCF =0.424 | MinDCF =0.387
Bayes | Raw | PCA = 11 | ActDCF =0.422 | MinDCF =0.384
Bayes | Normalized | PCA = 5 | ActDCF =0.473 | MinDCF =0.450
Bayes | Normalized | PCA = 6 | ActDCF =0.428 | MinDCF =0.423
Bayes | Normalized | PCA = 7 | ActDCF =0.437 | MinDCF =0.432
Bayes | Normalized | PCA = 8 | ActDCF =0.427 | MinDCF =0.420
Bayes | Normalized | PCA = 9 | ActDCF =0.429 | MinDCF =0.421
Bayes | Normalized | PCA = 10 | ActDCF =0.421 | MinDCF =0.411
Bayes | Normalized | PCA = 11 | ActDCF =0.415 | MinDCF =0.400
Tied | Raw | PCA = 5 | ActDCF =0.425 | MinDCF =0.420
Tied | Raw | PCA = 6 | ActDCF =0.407 | MinDCF =0.397
Tied | Raw | PCA = 7 | ActDCF =0.375 | MinDCF =0.371
Tied | Raw | PCA = 8 | ActDCF =0.368 | MinDCF =0.362
Tied | Raw | PCA = 9 | ActDCF =0.347 | MinDCF =0.338
Tied | Raw | PCA = 10 | ActDCF =0.351 | MinDCF =0.337
Tied | Raw | PCA = 11 | ActDCF =0.341 | MinDCF =0.334
Tied | Normalized | PCA = 5 | ActDCF =0.421 | MinDCF =0.384
Tied | Normalized | PCA = 6 | ActDCF =0.397 | MinDCF =0.368
Tied | Normalized | PCA = 7 | ActDCF =0.391 | MinDCF =0.380
Tied | Normalized | PCA = 8 | ActDCF =0.386 | MinDCF =0.383
Tied | Normalized | PCA = 9 | ActDCF =0.364 | MinDCF =0.356
Tied | Normalized | PCA = 10 | ActDCF =0.364 | MinDCF =0.354
Tied | Normalized | PCA = 11 | ActDCF =0.360 | MinDCF =0.356
Linear Regression | Lambda =1.00e-05 | Raw | PCA = 5 | ActDCF =0.436 | MinDCF =0.427
Linear Regression | Lambda =1.00e-05 | Raw | PCA = 6 | ActDCF =0.396 | MinDCF =0.394
Linear Regression | Lambda =1.00e-05 | Raw | PCA = 7 | ActDCF =0.389 | MinDCF =0.383
Linear Regression | Lambda =1.00e-05 | Raw | PCA = 8 | ActDCF =0.376 | MinDCF =0.371
Linear Regression | Lambda =1.00e-05 | Raw | PCA = 9 | ActDCF =0.356 | MinDCF =0.356
Linear Regression | Lambda =1.00e-05 | Raw | PCA = 10 | ActDCF =0.363 | MinDCF =0.357
Linear Regression | Lambda =1.00e-05 | Raw | PCA = 11 | ActDCF =0.357 | MinDCF =0.354
Linear Regression | Lambda =1.00e-05 | Normalized | PCA = 5 | ActDCF =0.431 | MinDCF =0.404
Linear Regression | Lambda =1.00e-05 | Normalized | PCA = 6 | ActDCF =0.396 | MinDCF =0.377
Linear Regression | Lambda =1.00e-05 | Normalized | PCA = 7 | ActDCF =0.392 | MinDCF =0.387
Linear Regression | Lambda =1.00e-05 | Normalized | PCA = 8 | ActDCF =0.398 | MinDCF =0.381
Linear Regression | Lambda =1.00e-05 | Normalized | PCA = 9 | ActDCF =0.376 | MinDCF =0.367
Linear Regression | Lambda =1.00e-05 | Normalized | PCA = 10 | ActDCF =0.376 | MinDCF =0.368
Linear Regression | Lambda =1.00e-05 | Normalized | PCA = 11 | ActDCF =0.374 | MinDCF =0.359
Linear Regression | Lambda =2.34e-05 | Raw | PCA = 5 | ActDCF =0.436 | MinDCF =0.427
Linear Regression | Lambda =2.34e-05 | Raw | PCA = 6 | ActDCF =0.400 | MinDCF =0.397
Linear Regression | Lambda =2.34e-05 | Raw | PCA = 7 | ActDCF =0.389 | MinDCF =0.384
Linear Regression | Lambda =2.34e-05 | Raw | PCA = 8 | ActDCF =0.375 | MinDCF =0.371
Linear Regression | Lambda =2.34e-05 | Raw | PCA = 9 | ActDCF =0.356 | MinDCF =0.354
Linear Regression | Lambda =2.34e-05 | Raw | PCA = 10 | ActDCF =0.361 | MinDCF =0.357
Linear Regression | Lambda =2.34e-05 | Raw | PCA = 11 | ActDCF =0.357 | MinDCF =0.353
Linear Regression | Lambda =2.34e-05 | Normalized | PCA = 5 | ActDCF =0.431 | MinDCF =0.404
Linear Regression | Lambda =2.34e-05 | Normalized | PCA = 6 | ActDCF =0.396 | MinDCF =0.377
Linear Regression | Lambda =2.34e-05 | Normalized | PCA = 7 | ActDCF =0.392 | MinDCF =0.387
Linear Regression | Lambda =2.34e-05 | Normalized | PCA = 8 | ActDCF =0.398 | MinDCF =0.381
Linear Regression | Lambda =2.34e-05 | Normalized | PCA = 9 | ActDCF =0.376 | MinDCF =0.367
Linear Regression | Lambda =2.34e-05 | Normalized | PCA = 10 | ActDCF =0.376 | MinDCF =0.368
Linear Regression | Lambda =2.34e-05 | Normalized | PCA = 11 | ActDCF =0.374 | MinDCF =0.359
Linear Regression | Lambda =5.46e-05 | Raw | PCA = 5 | ActDCF =0.436 | MinDCF =0.427
